('unscientific', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.625])
('unencumbered', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('poised', [0.0, 0.16666666666666666, 0.14285714285714285, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('dissolution', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0])
('refutes', [0.0, 0.1111111111111111, 0.0, 0.1111111111111111, '#scared', '#disgusting', 'negetive', -1.0])
('slogs', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('lurking', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('perverted', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('hating', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -1.0])
('saved', [0.0, 0.3333333333333333, 0.2857142857142857, 0.0, '#interesting', '#interesting', 'positive', 0.375])
('unguiculate', [0.0, 0.11764705882352941, 0.0, 0.11764705882352941, '#scared', '#disgusting', 'negetive', -0.125])
('brashly', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('unsheathed', [0.0, 0.25, 0.0, 0.25, '#scared', '#disgusting', 'negetive', -0.75])
('stinks', [0.0, 0.07142857142857142, 0.0, 0.07142857142857142, '#scared', '#disgusting', 'negetive', -1.0])
('offenses', [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, '#scared', '#disgusting', 'negetive', -1.0])
('unrentable', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('haters', [0.0, 0.1, 0.0, 0.1, '#scared', '#disgusting', 'negetive', -1.0])
('fibrillose', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.375])
('a_posteriori', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.125])
('spew', [0.0, 0.14285714285714285, 0.0, 0.14285714285714285, '#scared', '#disgusting', 'negetive', -1.0])
('poorest', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('metamorphic', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.25])
('blurs', [0.0, 0.09090909090909091, 0.0, 0.09090909090909091, '#scared', '#disgusting', 'negetive', -1.0])
('uniparous', [0.0, 0.5, 0.4, 0.0, '#interesting', '#interesting', 'positive', 0.25])
('slowest', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('bulkier', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('regrets', [0.0, 0.1, 0.0, 0.1, '#scared', '#disgusting', 'negetive', -1.0])
('slow-moving', [0.0, 0.2, 0.0, 0.2, '#scared', '#disgusting', 'negetive', -1.0])
('nonresident', [0.0, 0.18181818181818182, 0.0, 0.18181818181818182, '#scared', '#disgusting', 'negetive', -0.75])
('unsold', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.75])
('nonreciprocal', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('perishable', [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, '#scared', '#disgusting', 'negetive', -0.375])
('dragged', [0.0, 0.14285714285714285, 0.0, 0.14285714285714285, '#scared', '#disgusting', 'negetive', -1.0])
('ascensional', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.125])
('fantastically', [0.0, 0.3333333333333333, 0.25, 0.0, '#interesting', '#interesting', 'positive', 1.0])
('uncongenial', [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, '#scared', '#disgusting', 'negetive', -0.334])
